"P (MPa)","T (°C)","V (m3/kg)","U (kJ/kg)","H (kJ/kg)","S [kJ/(kg K)]","Phase"
120,270,0.001151,1069,1207,2.761,"liquid"
120,280,0.001165,1110,1249,2.838,"liquid"
120,290,0.001179,1151,1292,2.914,"liquid"
120,300,0.001193,1192,1335,2.99,"liquid"
120,310,0.001209,1233,1378,3.065,"liquid"
120,320,0.001225,1275,1422,3.139,"liquid"
120,330,0.001242,1316,1465,3.212,"liquid"
120,340,0.00126,1358,1510,3.285,"liquid"
120,350,0.001279,1400,1554,3.356,"liquid"
120,360,0.001299,1443,1599,3.428,"liquid"
120,370,0.00132,1486,1644,3.499,"liquid"
120,380,0.001342,1528,1690,3.569,"supercritical fluid"
120,390,0.001366,1572,1736,3.639,"supercritical fluid"
120,400,0.00139,1615,1782,3.708,"supercritical fluid"
120,410,0.001416,1659,1829,3.777,"supercritical fluid"
120,420,0.001444,1703,1876,3.846,"supercritical fluid"
120,430,0.001473,1747,1924,3.914,"supercritical fluid"
120,440,0.001504,1792,1972,3.982,"supercritical fluid"
120,450,0.001537,1836,2021,4.05,"supercritical fluid"
120,460,0.001572,1881,2070,4.118,"supercritical fluid"
120,470,0.001609,1927,2120,4.185,"supercritical fluid"
120,480,0.001648,1972,2170,4.252,"supercritical fluid"
120,490,0.001689,2018,2220,4.319,"supercritical fluid"
120,500,0.001733,2063,2271,4.385,"supercritical fluid"
120,520,0.001827,2154,2374,4.516,"supercritical fluid"
120,540,0.00193,2245,2477,4.644,"supercritical fluid"
120,560,0.002042,2335,2580,4.77,"supercritical fluid"
120,580,0.002162,2423,2682,4.891,"supercritical fluid"
120,600,0.002288,2508,2783,5.008,"supercritical fluid"
120,620,0.002419,2591,2882,5.119,"supercritical fluid"
120,640,0.002552,2671,2978,5.226,"supercritical fluid"
120,660,0.002688,2748,3071,5.327,"supercritical fluid"
120,680,0.002824,2822,3161,5.422,"supercritical fluid"
120,700,0.00296,2893,3248,5.513,"supercritical fluid"
120,720,0.003095,2962,3333,5.599,"supercritical fluid"
120,740,0.003228,3028,3415,5.681,"supercritical fluid"
120,760,0.003358,3092,3495,5.759,"supercritical fluid"
120,780,0.003487,3154,3572,5.833,"supercritical fluid"
120,800,0.003614,3214,3648,5.904,"supercritical fluid"
120,820,0.003738,3273,3721,5.972,"supercritical fluid"
120,840,0.00386,3330,3793,6.037,"supercritical fluid"
120,860,0.00398,3387,3864,6.1,"supercritical fluid"
120,880,0.004097,3442,3934,6.161,"supercritical fluid"
120,900,0.004213,3496,4002,6.22,"supercritical fluid"
120,920,0.004327,3550,4069,6.277,"supercritical fluid"
120,940,0.004439,3603,4135,6.332,"supercritical fluid"
120,960,0.00455,3655,4201,6.385,"supercritical fluid"
120,980,0.004659,3707,4266,6.438,"supercritical fluid"
120,1000,0.004766,3758,4330,6.488,"supercritical fluid"
120,1100,0.005284,4010,4644,6.726,"supercritical fluid"
120,1200,0.005775,4257,4950,6.941,"supercritical fluid"
120,1300,0.006247,4502,5252,7.139,"supercritical fluid"
120,1400,0.006704,4747,5552,7.324,"supercritical fluid"
120,1500,0.007148,4993,5851,7.498,"supercritical fluid"
120,1600,0.007584,5240,6150,7.662,"supercritical fluid"
120,1800,0.008433,5740,6751,7.967,"supercritical fluid"
120,2000,0.00926,6246,7358,8.246,"supercritical fluid"
140,0,0.0009427,-1.091,130.9,-0.01768,"liquid"
140,5,0.000944,17.99,150.2,0.05222,"liquid"
140,10,0.0009455,37.18,169.5,0.1213,"liquid"
140,15,0.000947,56.44,189,0.1895,"liquid"
140,20,0.0009487,75.77,208.6,0.2568,"liquid"
140,25,0.0009504,95.14,228.2,0.3232,"liquid"
140,30,0.0009522,114.6,247.9,0.3886,"liquid"
140,35,0.0009542,134,267.6,0.4531,"liquid"
140,40,0.0009561,153.5,287.3,0.5166,"liquid"
140,45,0.0009582,172.9,307.1,0.5793,"liquid"
140,50,0.0009604,192.4,326.9,0.641,"liquid"
140,55,0.0009626,211.9,346.7,0.7019,"liquid"
140,60,0.0009649,231.5,366.5,0.7618,"liquid"
140,65,0.0009673,251,386.4,0.821,"liquid"
140,70,0.0009698,270.5,406.3,0.8793,"liquid"
140,75,0.0009723,290,426.1,0.9368,"liquid"
140,80,0.000975,309.5,446,0.9935,"liquid"
140,85,0.0009777,329.1,465.9,1.05,"liquid"
140,90,0.0009804,348.6,485.8,1.105,"liquid"
140,95,0.0009833,368.1,505.8,1.159,"liquid"
140,100,0.0009862,387.6,525.7,1.213,"liquid"
140,105,0.0009892,407.2,545.7,1.266,"liquid"
140,110,0.0009923,426.7,565.6,1.319,"liquid"
140,115,0.0009955,446.2,585.6,1.37,"liquid"
140,120,0.0009987,465.8,605.6,1.422,"liquid"
140,125,0.001002,485.3,625.6,1.472,"liquid"
140,130,0.001005,504.8,645.6,1.522,"liquid"
140,135,0.001009,524.4,665.6,1.571,"liquid"
140,140,0.001012,543.9,685.7,1.62,"liquid"
140,145,0.001016,563.5,705.7,1.669,"liquid"
140,150,0.00102,583,725.8,1.716,"liquid"
140,155,0.001024,602.6,745.9,1.763,"liquid"
140,160,0.001027,622.2,766,1.81,"liquid"
140,165,0.001031,641.8,786.2,1.856,"liquid"
140,170,0.001035,661.4,806.3,1.902,"liquid"
140,175,0.00104,681,826.5,1.947,"liquid"
140,180,0.001044,700.6,846.7,1.992,"liquid"
140,185,0.001048,720.2,867,2.037,"liquid"
140,190,0.001052,739.9,887.2,2.081,"liquid"
140,195,0.001057,759.6,907.5,2.124,"liquid"
140,200,0.001061,779.2,927.8,2.167,"liquid"
140,210,0.001071,818.7,968.6,2.253,"liquid"
140,220,0.001081,858.1,1009,2.336,"liquid"
140,230,0.001091,897.7,1050,2.419,"liquid"
140,240,0.001101,937.4,1092,2.5,"liquid"
140,250,0.001112,977.2,1133,2.579,"liquid"
140,260,0.001124,1017,1174,2.658,"liquid"
140,270,0.001136,1057,1216,2.735,"liquid"
140,280,0.001148,1097,1258,2.812,"liquid"
140,290,0.001161,1137,1300,2.887,"liquid"
140,300,0.001175,1178,1342,2.961,"liquid"
140,310,0.001189,1218,1385,3.035,"liquid"
140,320,0.001204,1259,1427,3.107,"liquid"
140,330,0.001219,1299,1470,3.179,"liquid"
140,340,0.001235,1340,1513,3.25,"liquid"
140,350,0.001252,1381,1557,3.32,"liquid"
140,360,0.00127,1422,1600,3.389,"liquid"
140,370,0.001288,1464,1644,3.458,"liquid"
140,380,0.001307,1505,1688,3.527,"supercritical fluid"
140,390,0.001328,1547,1733,3.594,"supercritical fluid"
140,400,0.001349,1589,1778,3.661,"supercritical fluid"
140,410,0.001371,1631,1823,3.728,"supercritical fluid"
140,420,0.001394,1673,1868,3.794,"supercritical fluid"
140,430,0.001419,1715,1914,3.859,"supercritical fluid"
140,440,0.001445,1758,1960,3.925,"supercritical fluid"
140,450,0.001472,1801,2007,3.989,"supercritical fluid"
140,460,0.0015,1843,2053,4.053,"supercritical fluid"
140,470,0.00153,1886,2101,4.117,"supercritical fluid"
140,480,0.001561,1929,2148,4.181,"supercritical fluid"
140,490,0.001594,1972,2196,4.243,"supercritical fluid"
140,500,0.001628,2016,2244,4.306,"supercritical fluid"
140,520,0.001701,2102,2340,4.429,"supercritical fluid"
140,540,0.001781,2188,2437,4.55,"supercritical fluid"
140,560,0.001866,2273,2535,4.669,"supercritical fluid"
140,580,0.001958,2358,2632,4.784,"supercritical fluid"
140,600,0.002054,2440,2728,4.895,"supercritical fluid"
140,620,0.002155,2521,2823,5.003,"supercritical fluid"
140,640,0.002259,2600,2916,5.106,"supercritical fluid"
140,660,0.002366,2677,3008,5.205,"supercritical fluid"
140,680,0.002475,2751,3098,5.3,"supercritical fluid"
140,700,0.002584,2823,3185,5.391,"supercritical fluid"
140,720,0.002694,2893,3270,5.478,"supercritical fluid"
140,740,0.002804,2961,3353,5.561,"supercritical fluid"
140,760,0.002913,3027,3434,5.64,"supercritical fluid"
140,780,0.003021,3091,3514,5.716,"supercritical fluid"
140,800,0.003128,3153,3591,5.788,"supercritical fluid"
140,820,0.003233,3214,3666,5.858,"supercritical fluid"
140,840,0.003338,3273,3741,5.925,"supercritical fluid"
140,860,0.00344,3331,3813,5.99,"supercritical fluid"
140,880,0.003542,3389,3885,6.053,"supercritical fluid"
140,900,0.003642,3445,3955,6.113,"supercritical fluid"
140,920,0.00374,3500,4024,6.171,"supercritical fluid"
140,940,0.003838,3555,4092,6.228,"supercritical fluid"
140,960,0.003934,3609,4160,6.283,"supercritical fluid"
140,980,0.004028,3662,4226,6.337,"supercritical fluid"
140,1000,0.004122,3715,4292,6.389,"supercritical fluid"
140,1100,0.004573,3973,4613,6.632,"supercritical fluid"
140,1200,0.005001,4225,4925,6.851,"supercritical fluid"
140,1300,0.005412,4474,5232,7.053,"supercritical fluid"
140,1400,0.005809,4723,5536,7.24,"supercritical fluid"
140,1500,0.006195,4971,5839,7.416,"supercritical fluid"
140,1600,0.006572,5221,6141,7.582,"supercritical fluid"
140,1800,0.007307,5724,6747,7.889,"supercritical fluid"
140,2000,0.008022,6234,7357,8.17,"supercritical fluid"
160,0,0.0009362,-1.582,148.2,-0.02302,"liquid"
160,5,0.0009376,17.33,167.4,0.04642,"liquid"
160,10,0.0009392,36.36,186.6,0.1151,"liquid"
160,15,0.0009408,55.48,206,0.183,"liquid"
160,20,0.0009425,74.67,225.5,0.2499,"liquid"
160,25,0.0009443,93.9,245,0.316,"liquid"
160,30,0.0009462,113.2,264.6,0.3811,"liquid"
160,35,0.0009481,132.5,284.2,0.4452,"liquid"
160,40,0.0009501,151.8,303.8,0.5085,"liquid"
160,45,0.0009522,171.1,323.5,0.5708,"liquid"
160,50,0.0009543,190.5,343.2,0.6322,"liquid"
160,55,0.0009566,209.9,362.9,0.6928,"liquid"
160,60,0.0009589,229.2,382.7,0.7525,"liquid"
160,65,0.0009612,248.6,402.4,0.8113,"liquid"
160,70,0.0009636,268,422.2,0.8694,"liquid"
160,75,0.0009661,287.4,442,0.9266,"liquid"
160,80,0.0009687,306.7,461.7,0.983,"liquid"
160,85,0.0009714,326.1,481.5,1.039,"liquid"
160,90,0.0009741,345.5,501.4,1.094,"liquid"
160,95,0.0009769,364.9,521.2,1.148,"liquid"
160,100,0.0009797,384.2,541,1.201,"liquid"
160,105,0.0009826,403.6,560.8,1.254,"liquid"
160,110,0.0009856,423,580.7,1.306,"liquid"
160,115,0.0009887,442.4,600.5,1.358,"liquid"
160,120,0.0009918,461.7,620.4,1.409,"liquid"
160,125,0.000995,481.1,640.3,1.459,"liquid"
160,130,0.0009983,500.5,660.2,1.509,"liquid"
160,135,0.001002,519.8,680.1,1.558,"liquid"
160,140,0.001005,539.2,700,1.606,"liquid"
160,145,0.001009,558.6,720,1.654,"liquid"
160,150,0.001012,578,739.9,1.702,"liquid"
160,155,0.001016,597.4,759.9,1.748,"liquid"
160,160,0.001019,616.7,779.9,1.795,"liquid"
160,165,0.001023,636.1,799.9,1.841,"liquid"
160,170,0.001027,655.5,819.9,1.886,"liquid"
160,175,0.001031,675,839.9,1.931,"liquid"
160,180,0.001035,694.4,860,1.976,"liquid"
160,185,0.001039,713.8,880.1,2.02,"liquid"
160,190,0.001043,733.2,900.2,2.063,"liquid"
160,195,0.001048,752.7,920.3,2.107,"liquid"
160,200,0.001052,772.2,940.5,2.15,"liquid"
160,210,0.001061,811.1,980.9,2.234,"liquid"
160,220,0.00107,850.2,1021,2.317,"liquid"
160,230,0.00108,889.2,1062,2.399,"liquid"
160,240,0.00109,928.3,1103,2.479,"liquid"
160,250,0.0011,967.6,1144,2.558,"liquid"
160,260,0.001111,1007,1185,2.635,"liquid"
160,270,0.001122,1046,1226,2.712,"liquid"
160,280,0.001134,1086,1267,2.787,"liquid"
160,290,0.001146,1125,1309,2.861,"liquid"
160,300,0.001158,1165,1350,2.935,"liquid"
160,310,0.001171,1205,1392,3.007,"liquid"
160,320,0.001185,1244,1434,3.078,"liquid"
160,330,0.001199,1284,1476,3.149,"liquid"
160,340,0.001214,1324,1518,3.218,"liquid"
160,350,0.001229,1364,1561,3.287,"liquid"
160,360,0.001245,1405,1604,3.355,"liquid"
160,370,0.001261,1445,1647,3.423,"liquid"
160,380,0.001278,1485,1690,3.489,"supercritical fluid"
160,390,0.001296,1526,1733,3.555,"supercritical fluid"
160,400,0.001315,1567,1777,3.621,"supercritical fluid"
160,410,0.001335,1607,1821,3.685,"supercritical fluid"
160,420,0.001355,1648,1865,3.749,"supercritical fluid"
160,430,0.001376,1689,1909,3.813,"supercritical fluid"
160,440,0.001398,1730,1954,3.876,"supercritical fluid"
160,450,0.001421,1771,1999,3.938,"supercritical fluid"
160,460,0.001445,1812,2044,4,"supercritical fluid"
160,470,0.00147,1854,2089,4.061,"supercritical fluid"
160,480,0.001497,1895,2135,4.122,"supercritical fluid"
160,490,0.001524,1937,2180,4.183,"supercritical fluid"
160,500,0.001552,1978,2226,4.242,"supercritical fluid"
160,520,0.001612,2061,2319,4.36,"supercritical fluid"
160,540,0.001677,2143,2411,4.476,"supercritical fluid"
160,560,0.001746,2225,2505,4.589,"supercritical fluid"
160,580,0.00182,2306,2598,4.699,"supercritical fluid"
160,600,0.001897,2387,2690,4.807,"supercritical fluid"
160,620,0.001979,2465,2782,4.911,"supercritical fluid"
160,640,0.002063,2543,2873,5.011,"supercritical fluid"
160,660,0.002149,2618,2962,5.108,"supercritical fluid"
160,680,0.002238,2692,3050,5.202,"supercritical fluid"
160,700,0.002328,2764,3137,5.291,"supercritical fluid"
160,720,0.002419,2835,3222,5.378,"supercritical fluid"
160,740,0.002511,2903,3305,5.461,"supercritical fluid"
160,760,0.002602,2970,3386,5.54,"supercritical fluid"
160,780,0.002694,3035,3466,5.617,"supercritical fluid"
160,800,0.002785,3099,3544,5.69,"supercritical fluid"
160,820,0.002876,3161,3621,5.761,"supercritical fluid"
160,840,0.002965,3222,3696,5.829,"supercritical fluid"
160,860,0.003054,3281,3770,5.895,"supercritical fluid"
160,880,0.003143,3340,3843,5.959,"supercritical fluid"
160,900,0.00323,3398,3914,6.02,"supercritical fluid"
160,920,0.003316,3454,3985,6.08,"supercritical fluid"
160,940,0.003401,3510,4055,6.138,"supercritical fluid"
160,960,0.003485,3566,4123,6.194,"supercritical fluid"
160,980,0.003568,3620,4191,6.249,"supercritical fluid"
160,1000,0.003651,3674,4259,6.302,"supercritical fluid"
160,1100,0.004049,3938,4586,6.549,"supercritical fluid"
160,1200,0.004428,4195,4903,6.773,"supercritical fluid"
160,1300,0.004792,4448,5214,6.977,"supercritical fluid"
160,1400,0.005143,4699,5522,7.167,"supercritical fluid"
160,1500,0.005485,4950,5828,7.344,"supercritical fluid"
160,1600,0.005818,5202,6133,7.511,"supercritical fluid"
160,1800,0.006467,5709,6744,7.821,"supercritical fluid"
160,2000,0.007096,6222,7357,8.104,"supercritical fluid"
180,0,0.0009301,-2.104,165.3,-0.02874,"liquid"
180,5,0.0009316,16.65,184.3,0.04029,"liquid"
180,10,0.0009332,35.54,203.5,0.1086,"liquid"
180,15,0.0009349,54.53,222.8,0.1762,"liquid"
180,20,0.0009367,73.58,242.2,0.2428,"liquid"
180,25,0.0009385,92.69,261.6,0.3086,"liquid"
180,30,0.0009404,111.8,281.1,0.3734,"liquid"
180,35,0.0009423,131,300.6,0.4373,"liquid"
180,40,0.0009444,150.2,320.2,0.5003,"liquid"
180,45,0.0009464,169.4,339.8,0.5624,"liquid"
180,50,0.0009486,188.7,359.4,0.6235,"liquid"
180,55,0.0009508,207.9,379.1,0.6838,"liquid"
180,60,0.000953,227.2,398.7,0.7432,"liquid"
180,65,0.0009554,246.4,418.4,0.8018,"liquid"
180,70,0.0009578,265.6,438,0.8596,"liquid"
180,75,0.0009602,284.9,457.7,0.9165,"liquid"
180,80,0.0009628,304.1,477.4,0.9727,"liquid"
180,85,0.0009653,323.3,497.1,1.028,"liquid"
180,90,0.000968,342.6,516.8,1.083,"liquid"
180,95,0.0009707,361.8,536.6,1.137,"liquid"
180,100,0.0009735,381,556.3,1.19,"liquid"
180,105,0.0009763,400.3,576,1.242,"liquid"
180,110,0.0009792,419.5,595.8,1.294,"liquid"
180,115,0.0009822,438.7,615.5,1.346,"liquid"
180,120,0.0009853,457.9,635.3,1.396,"liquid"
180,125,0.0009884,477.1,655.1,1.446,"liquid"
180,130,0.0009915,496.4,674.8,1.496,"liquid"
180,135,0.0009948,515.6,694.6,1.544,"liquid"
180,140,0.0009981,534.8,714.4,1.593,"liquid"
180,145,0.001001,554,734.3,1.64,"liquid"
180,150,0.001005,573.2,754.1,1.687,"liquid"
180,155,0.001008,592.4,773.9,1.734,"liquid"
180,160,0.001012,611.6,793.8,1.78,"liquid"
180,165,0.001016,630.9,813.7,1.826,"liquid"
180,170,0.001019,650.1,833.6,1.871,"liquid"
180,175,0.001023,669.3,853.5,1.916,"liquid"
180,180,0.001027,688.6,873.4,1.96,"liquid"
180,185,0.001031,707.8,893.4,2.004,"liquid"
180,190,0.001035,727.1,913.3,2.047,"liquid"
180,195,0.001039,746.3,933.3,2.09,"liquid"
180,200,0.001043,765.6,953.3,2.132,"liquid"
180,210,0.001052,804.1,993.4,2.216,"liquid"
180,220,0.00106,842.7,1034,2.299,"liquid"
180,230,0.00107,881.4,1074,2.379,"liquid"
180,240,0.001079,920,1114,2.459,"liquid"
180,250,0.001089,958.7,1155,2.537,"liquid"
180,260,0.001099,997.5,1195,2.614,"liquid"
180,270,0.001109,1036,1236,2.69,"liquid"
180,280,0.00112,1075,1277,2.764,"liquid"
180,290,0.001132,1114,1318,2.838,"liquid"
180,300,0.001143,1153,1359,2.91,"liquid"
180,310,0.001155,1192,1400,2.981,"liquid"
180,320,0.001168,1231,1442,3.052,"liquid"
180,330,0.001181,1271,1483,3.121,"liquid"
180,340,0.001194,1310,1525,3.19,"liquid"
180,350,0.001208,1349,1567,3.258,"liquid"
180,360,0.001223,1389,1609,3.324,"liquid"
180,370,0.001238,1428,1651,3.391,"liquid"
180,380,0.001253,1468,1693,3.456,"supercritical fluid"
180,390,0.00127,1507,1736,3.521,"supercritical fluid"
180,400,0.001286,1547,1779,3.584,"supercritical fluid"
180,410,0.001304,1587,1822,3.648,"supercritical fluid"
180,420,0.001322,1627,1865,3.71,"supercritical fluid"
180,430,0.001341,1666,1908,3.772,"supercritical fluid"
180,440,0.00136,1706,1951,3.833,"supercritical fluid"
180,450,0.001381,1746,1995,3.894,"supercritical fluid"
180,460,0.001402,1786,2039,3.954,"supercritical fluid"
180,470,0.001423,1826,2083,4.014,"supercritical fluid"
180,480,0.001446,1866,2127,4.073,"supercritical fluid"
180,490,0.001469,1906,2171,4.131,"supercritical fluid"
180,500,0.001494,1946,2215,4.189,"supercritical fluid"
180,520,0.001545,2027,2305,4.303,"supercritical fluid"
180,540,0.001599,2106,2394,4.415,"supercritical fluid"
180,560,0.001658,2186,2484,4.524,"supercritical fluid"
180,580,0.001719,2264,2574,4.63,"supercritical fluid"
180,600,0.001784,2343,2664,4.734,"supercritical fluid"
180,620,0.001851,2420,2753,4.835,"supercritical fluid"
180,640,0.001922,2495,2841,4.933,"supercritical fluid"
180,660,0.001994,2570,2929,5.028,"supercritical fluid"
180,680,0.002068,2643,3015,5.12,"supercritical fluid"
180,700,0.002144,2715,3101,5.208,"supercritical fluid"
180,720,0.002221,2785,3185,5.294,"supercritical fluid"
180,740,0.002299,2853,3267,5.376,"supercritical fluid"
180,760,0.002377,2920,3348,5.455,"supercritical fluid"
180,780,0.002455,2986,3428,5.532,"supercritical fluid"
180,800,0.002534,3050,3507,5.606,"supercritical fluid"
180,820,0.002612,3114,3584,5.677,"supercritical fluid"
180,840,0.00269,3175,3660,5.746,"supercritical fluid"
180,860,0.002768,3236,3734,5.812,"supercritical fluid"
180,880,0.002845,3296,3808,5.877,"supercritical fluid"
180,900,0.002922,3354,3880,5.939,"supercritical fluid"
180,920,0.002998,3412,3952,5.999,"supercritical fluid"
180,940,0.003073,3469,4023,6.058,"supercritical fluid"
180,960,0.003147,3526,4092,6.115,"supercritical fluid"
180,980,0.003221,3581,4161,6.171,"supercritical fluid"
180,1000,0.003294,3637,4230,6.225,"supercritical fluid"
180,1100,0.003649,3905,4562,6.476,"supercritical fluid"
180,1200,0.003989,4166,4884,6.702,"supercritical fluid"
180,1300,0.004315,4422,5199,6.909,"supercritical fluid"
180,1400,0.00463,4677,5510,7.101,"supercritical fluid"
180,1500,0.004936,4930,5819,7.28,"supercritical fluid"
180,1600,0.005235,5184,6126,7.449,"supercritical fluid"
180,1800,0.005815,5694,6741,7.761,"supercritical fluid"
180,2000,0.006378,6210,7358,8.045,"supercritical fluid"
200,0,0.0009243,-2.642,182.2,-0.03477,"liquid"
200,10,0.0009275,34.72,220.2,0.1019,"liquid"
200,20,0.0009311,72.52,258.7,0.2356,"liquid"
200,25,0.0009329,91.52,278.1,0.3011,"liquid"
200,30,0.0009348,110.6,297.5,0.3657,"liquid"
200,40,0.0009388,148.7,336.5,0.4921,"liquid"
200,50,0.000943,186.9,375.5,0.6149,"liquid"
200,60,0.0009475,225.2,414.7,0.7341,"liquid"
200,70,0.0009521,263.4,453.8,0.8499,"liquid"
200,80,0.000957,301.6,493,0.9626,"liquid"
200,90,0.0009622,339.8,532.3,1.072,"liquid"
200,100,0.0009676,378,571.5,1.179,"liquid"
200,110,0.0009732,416.2,610.8,1.283,"liquid"
200,120,0.000979,454.3,650.2,1.384,"liquid"
200,130,0.0009851,492.5,689.5,1.483,"liquid"
200,140,0.0009915,530.6,728.9,1.579,"liquid"
200,150,0.000998,568.7,768.3,1.674,"liquid"
200,160,0.001005,606.8,807.8,1.766,"liquid"
200,170,0.001012,645,847.4,1.856,"liquid"
200,180,0.001019,683.1,887,1.945,"liquid"
200,190,0.001027,721.3,926.6,2.031,"liquid"
200,200,0.001035,759.4,966.4,2.116,"liquid"
200,210,0.001043,797.6,1006,2.199,"liquid"
200,220,0.001051,835.8,1046,2.281,"liquid"
200,230,0.00106,874,1086,2.361,"liquid"
200,240,0.001069,912.3,1126,2.44,"liquid"
200,250,0.001078,950.6,1166,2.518,"liquid"
200,260,0.001088,988.9,1207,2.594,"liquid"
200,270,0.001098,1027,1247,2.669,"liquid"
200,280,0.001108,1066,1287,2.743,"liquid"
200,290,0.001119,1104,1328,2.815,"liquid"
200,300,0.00113,1143,1369,2.887,"liquid"
200,320,0.001153,1220,1450,3.027,"liquid"
200,340,0.001177,1297,1533,3.163,"liquid"
200,360,0.001204,1374,1615,3.296,"liquid"
200,380,0.001232,1452,1698,3.426,"supercritical fluid"
200,400,0.001262,1530,1782,3.552,"supercritical fluid"
200,420,0.001294,1608,1867,3.675,"supercritical fluid"
200,440,0.001328,1686,1951,3.796,"supercritical fluid"
200,460,0.001365,1764,2037,3.914,"supercritical fluid"
200,480,0.001404,1842,2123,4.03,"supercritical fluid"
200,500,0.001446,1920,2209,4.143,"supercritical fluid"
200,550,0.001563,2114,2427,4.415,"supercritical fluid"
200,600,0.001697,2306,2645,4.673,"supercritical fluid"
200,650,0.001846,2492,2861,4.914,"supercritical fluid"
200,700,0.002006,2672,3073,5.137,"supercritical fluid"
200,750,0.002173,2844,3279,5.343,"supercritical fluid"
200,800,0.002343,3008,3477,5.532,"supercritical fluid"
200,900,0.002685,3315,3852,5.867,"supercritical fluid"
200,1000,0.003017,3602,4205,6.156,"supercritical fluid"
200,1200,0.003643,4138,4867,6.639,"supercritical fluid"
200,1400,0.004223,4655,5500,7.042,"supercritical fluid"
200,1600,0.004771,5167,6121,7.393,"supercritical fluid"
200,1800,0.005296,5680,6740,7.707,"supercritical fluid"
200,2000,0.005806,6198,7359,7.992,"supercritical fluid"
250,0,0.0009109,-4.042,223.7,-0.05087,"liquid"
250,10,0.0009144,32.7,261.3,0.08435,"liquid"
250,20,0.0009181,69.98,299.5,0.2169,"liquid"
250,25,0.00092,88.73,318.7,0.282,"liquid"
250,30,0.0009219,107.5,338,0.3461,"liquid"
250,40,0.000926,145.2,376.7,0.4716,"liquid"
250,50,0.0009301,182.9,415.4,0.5934,"liquid"
250,60,0.0009345,220.6,454.2,0.7116,"liquid"
250,70,0.000939,258.3,493,0.8264,"liquid"
250,80,0.0009437,295.9,531.9,0.938,"liquid"
250,90,0.0009487,333.6,570.7,1.047,"liquid"
250,100,0.0009538,371.2,609.6,1.152,"liquid"
250,110,0.0009591,408.7,648.5,1.255,"liquid"
250,120,0.0009646,446.2,687.4,1.355,"liquid"
250,130,0.0009703,483.7,726.3,1.453,"liquid"
250,140,0.0009762,521.2,765.2,1.548,"liquid"
250,150,0.0009823,558.6,804.2,1.641,"liquid"
250,160,0.0009886,596,843.2,1.733,"liquid"
250,170,0.0009951,633.4,882.2,1.822,"liquid"
250,180,0.001002,670.8,921.3,1.909,"liquid"
250,190,0.001009,708.2,960.4,1.994,"liquid"
250,200,0.001016,745.6,999.6,2.078,"liquid"
250,210,0.001023,783,1039,2.16,"liquid"
250,220,0.001031,820.4,1078,2.24,"liquid"
250,230,0.001039,857.7,1117,2.319,"liquid"
250,240,0.001047,895.1,1157,2.397,"liquid"
250,250,0.001055,932.5,1196,2.473,"liquid"
250,260,0.001064,969.9,1236,2.548,"liquid"
250,270,0.001073,1007,1275,2.622,"liquid"
250,280,0.001082,1045,1315,2.694,"liquid"
250,290,0.001091,1082,1355,2.765,"liquid"
250,300,0.0011,1120,1395,2.835,"liquid"
250,320,0.00112,1194,1474,2.972,"liquid"
250,340,0.001141,1269,1555,3.105,"liquid"
250,360,0.001164,1344,1635,3.234,"liquid"
250,380,0.001187,1419,1716,3.359,"supercritical fluid"
250,400,0.001212,1494,1797,3.482,"supercritical fluid"
250,420,0.001238,1568,1878,3.601,"supercritical fluid"
250,440,0.001266,1643,1960,3.717,"supercritical fluid"
250,460,0.001295,1718,2042,3.83,"supercritical fluid"
250,480,0.001326,1792,2124,3.94,"supercritical fluid"
250,500,0.001358,1866,2206,4.048,"supercritical fluid"
250,550,0.001447,2051,2413,4.307,"supercritical fluid"
250,600,0.001546,2233,2620,4.552,"supercritical fluid"
250,650,0.001655,2413,2826,4.782,"supercritical fluid"
250,700,0.001772,2587,3030,4.997,"supercritical fluid"
250,750,0.001896,2757,3231,5.198,"supercritical fluid"
250,800,0.002023,2921,3426,5.384,"supercritical fluid"
250,900,0.002282,3232,3802,5.719,"supercritical fluid"
250,1000,0.002539,3525,4160,6.012,"supercritical fluid"
250,1200,0.003035,4076,4835,6.505,"supercritical fluid"
250,1400,0.003502,4605,5480,6.916,"supercritical fluid"
250,1600,0.003944,5126,6112,7.273,"supercritical fluid"
250,1800,0.004369,5647,6739,7.591,"supercritical fluid"
250,2000,0.00478,6171,7366,7.879,"supercritical fluid"
300,0,0.0008989,-5.406,264.3,-0.06791,"liquid"
300,10,0.0009025,30.78,301.5,0.06608,"liquid"
300,20,0.0009063,67.61,339.5,0.1978,"liquid"
300,25,0.0009082,86.15,358.6,0.2625,"liquid"
300,30,0.0009102,104.7,377.8,0.3263,"liquid"
300,40,0.0009142,142,416.3,0.4511,"liquid"
300,50,0.0009184,179.3,454.8,0.5722,"liquid"
300,60,0.0009227,216.5,493.3,0.6896,"liquid"
300,70,0.0009271,253.7,531.9,0.8037,"liquid"
300,80,0.0009316,290.9,570.4,0.9144,"liquid"
300,90,0.0009364,328,609,1.022,"liquid"
300,100,0.0009412,365.1,647.5,1.127,"liquid"
300,110,0.0009463,402.1,686,1.229,"liquid"
300,120,0.0009515,439.1,724.6,1.328,"liquid"
300,130,0.0009569,476.1,763.1,1.425,"liquid"
300,140,0.0009624,512.9,801.7,1.519,"liquid"
300,150,0.0009681,549.8,840.2,1.611,"liquid"
300,160,0.000974,586.6,878.8,1.702,"liquid"
300,170,0.0009801,623.4,917.4,1.79,"liquid"
